date,sp500_ret
2013-06-17,0.007613
2013-06-18,0.007811
2013-06-19,-0.013912
2013-06-20,-0.024876
2013-06-21,0.002352
2013-06-24,-0.011854
2013-06-25,0.009489
2013-06-26,0.00984
2013-06-27,0.006371
2013-06-28,-0.004367
2013-07-01,0.005481
2013-07-02,-0.000412
2013-07-03,0.000831
2013-07-05,0.010113
2013-07-08,0.005695
2013-07-09,0.007262
2013-07-10,0.000236
2013-07-11,0.013691
2013-07-12,0.003009
2013-07-15,0.001522
2013-07-16,-0.003745
2013-07-17,0.00283
2013-07-18,0.005011
2013-07-19,0.001503
2013-07-22,0.002035
2013-07-23,-0.00175
2013-07-24,-0.003726
2013-07-25,0.0025
2013-07-26,0.000813
2013-07-29,-0.003651
2013-07-30,0.000527
2013-07-31,-0.000103
2013-08-01,0.012504
2013-08-02,0.001666
2013-08-05,-0.001412
2013-08-06,-0.005701
2013-08-07,-0.003545
2013-08-08,0.004056
2013-08-09,-0.003307
2013-08-12,-0.001138
2013-08-13,0.002888
2013-08-14,-0.004962
2013-08-15,-0.014269
2013-08-16,-0.003337
2013-08-19,-0.005888
2013-08-20,0.00387
2013-08-21,-0.005602
2013-08-22,0.008594
2013-08-23,0.004166
2013-08-26,-0.00402
2013-08-27,-0.015764
2013-08-28,0.002691
2013-08-29,0.002221
2013-08-30,-0.002944
2013-09-03,0.004108
2013-09-04,0.008289
2013-09-05,0.001261
2013-09-06,0.000194
2013-09-09,0.010143
2013-09-10,0.007445
2013-09-11,0.003132
2013-09-12,-0.003058
2013-09-13,0.002824
2013-09-16,0.005725
2013-09-17,0.004337
2013-09-18,0.012281
2013-09-19,-0.001648
2013-09-20,-0.00718
2013-09-23,-0.004703
2013-09-24,-0.002512
2013-09-25,-0.002835
2013-09-26,0.003647
2013-09-27,-0.004064
2013-09-30,-0.006004
2013-10-01,0.007948
2013-10-02,-0.000453
2013-10-03,-0.008983
2013-10-04,0.006997
2013-10-07,-0.008653
2013-10-08,-0.011835
2013-10-09,0.000665
2013-10-10,0.022
2013-10-11,0.006247
2013-10-14,0.004028
2013-10-15,-0.007049
2013-10-16,0.013931
2013-10-17,0.006748
2013-10-18,0.006599
2013-10-21,4.9e-05
2013-10-22,0.00581
2013-10-23,-0.00477
